"plot","ratio","type","file","fileID","set85id","graphtype","kit","nickname","participantUnique","appStartTime","plotStartTime","plotEndTime","plot3dClicks","whichIsSmaller","byHowMuch","graphCorrecter","Height","response","subject","ratioLabel"
"2dDigital",1,2,"data/pilot/Set85/id-04/Type1-Rep01",7,4,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324573.46535,1681324580.23407,0,"Triangle (▲)",26.8,NA,0.464158883361278,4.3031150071381,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",46.4
"2dDigital",6,2,"data/pilot/Set85/id-06/Type1-Rep01",11,6,"Type1",12,"bf41afaa31fb2787c7b74f1fbb97b143","1811472120114",1681324428.94234,1681324580.31241,1681324585.37132,0,"Triangle (▲)",17.1,NA,0.261015721568254,3.19007310107042,"bf41afaa31fb2787c7b74f1fbb97b1431811472120114",26.1
"3dPrint",4,2,"data/pilot/Set85/id-02/Type1-Rep01",3,2,"Type1",15,"57784e0faad4b99594afa21e308fde6c","91514",1681325479.29664,1681325497.48512,1681325536.36041,0,"Triangle (▲)",50,"",0.56234132519035,2.66882997371014,"57784e0faad4b99594afa21e308fde6c91514",56.2
"3dDigital",6,1,"data/pilot/Set85/id-06/Type3-Rep01",12,6,"Type3",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325704.69766,1681325719.16517,0,"Triangle (▲)",27,NA,0.261015721568254,0.0334093886692337,"57784e0faad4b99594afa21e308fde6c1291514",26.1
"3dDigital",5,1,"data/pilot/Set85/id-03/Type3-Rep01",6,3,"Type3",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325719.23912,1681325728.13538,0,"Triangle (▲)",81.5,NA,0.681292069057963,3.75443785564575,"57784e0faad4b99594afa21e308fde6c1291514",68.1
"3dPrint",4,2,"data/pilot/Set85/id-02/Type1-Rep01",3,2,"Type1",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325744.23087,1681325755.04941,0,"Triangle (▲)",46,"",0.56234132519035,3.37283129068345,"57784e0faad4b99594afa21e308fde6c1291514",56.2
"3dPrint",7,1,"data/pilot/Set85/id-01/Type3-Rep01",2,1,"Type3",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325775.59593,1681325786.15001,0,"Triangle (▲)",20.1,"",0.177827941003892,1.28818483743631,"57784e0faad4b99594afa21e308fde6c1291514",17.8
"2dDigital",7,2,"data/pilot/Set85/id-01/Type1-Rep01",1,1,"Type1",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325786.21745,1681325793.46641,0,"Triangle (▲)",10.9,NA,0.177827941003892,2.80896038699513,"57784e0faad4b99594afa21e308fde6c1291514",17.8
"3dDigital",7,2,"data/pilot/Set85/id-01/Type1-Rep01",1,1,"Type1",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325793.55521,1681325799.23756,0,"Triangle (▲)",15.6,NA,0.177827941003892,1.20651451358552,"57784e0faad4b99594afa21e308fde6c1291514",17.8
"3dDigital",2,1,"data/pilot/Set85/id-05/Type3-Rep01",10,5,"Type3",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325799.30912,1681325806.44891,0,"Triangle (▲)",37,NA,0.383118684955729,0.522928030155455,"57784e0faad4b99594afa21e308fde6c1291514",38.3
"3dPrint",5,1,"data/pilot/Set85/id-03/Type3-Rep01",6,3,"Type3",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325818.55204,1681325826.9676,0,"Triangle (▲)",66.1,"",0.681292069057963,1.10715682352682,"57784e0faad4b99594afa21e308fde6c1291514",68.1
"2dDigital",6,1,"data/pilot/Set85/id-06/Type3-Rep01",12,6,"Type3",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325827.05967,1681325833.17885,0,"Triangle (▲)",18.8,NA,0.261015721568254,2.89269646736297,"57784e0faad4b99594afa21e308fde6c1291514",26.1
